issn,name
2096-9368,建筑史学刊
2096-8965,生物医学转化
2666-9854,中西医结合护理杂志
2096-8949,交通科技与管理
2663-3558,多酚杂志
2095-3003,新纪实
2096-8612,美术馆
2468-0427,传染病建模
2213-4530,食品科学与人类健康
2589-7217,农业人工智能
2214-3173,农业信息处理
2637-9368,碳能源
2096-1944,动漫先锋
1674-3733,写真地理
2213-9567,镁合金学报
1004-6738,语文新读写
1674-6074,健康女性
1002-1221,进展：科学视界
2096-6903,智能建筑与工程机械
1002-7459,女人坊：新时代教育
2703-1583,亚洲毒理学研究
2096-3556,大健康
2661-3158,可持续海洋结构
2661-3328,NASS农业科学杂志
2703-1950,肿瘤微环境研究
1674-8727,复印报刊资料：初中语文教与学
1674-8778,复印报刊资料：初中数学教与学
2072-1307,水工业市场
1009-6272,真情
1006-0855,运动-休闲：大众体育
1002-9052,新疆社会科学：维文
1004-1788,新疆社会科学：哈文
1671-5233,新疆大学学报：自然科学维文版
1005-5878,新疆大学学报：哲学社会科学维文版
1005-5746,西藏大学学报：藏文版
1672-8696,市民
1672-2825,福建省人民政府公报
1002-3917,今天
1673-0410,都市家教：上半月
1008-6803,中学生阅读：新视窗
1671-2609,好日子
1009-9689,现代护理：上旬版
1674-0378,越野世界
1674-1838,环球慈善
1671-0983,中华人民共和国国防科学技术工业委员会文告
1673-5080,信息周刊
1673-968X,太原市人民政府公报
2617-1686,城市周刊
1673-7261,汽车世界
1673-0801,幸福生活指南：高等职业教育
1674-1684,最小说
1672-1411,电子经理世界
1000-8004,珠海职业教育
2412-2890,大东方
2095-381X,最漫画·学校体音美
1673-5838,金色通道
1672-1322,绿色天府
1674-4012,云南政报
1674-7534,文化产业导刊
1934-7332,计算机技术与应用：英文版
1674-5167,中国化工贸易
2161-6264,农业科学与技术：B
2161-6221,材料科学与工程：中英文B版
2161-6248,美中教育评论：B
2159-5828,食品科学与工程：英文版（美国）
2159-5291,数学和系统科学：英文版
2159-5526,社会学研究：英文版
2159-5275,机械工程与自动化：英文版
2159-5879,船舶与海洋工程：英文版
2159-5348,物理科学与应用：英文版
2159-5313,哲学研究：英文版
2159-5836,文学与艺术研究：英文版
2159-5542,Psychology Research
2095-0179,化学科学与工程前沿：英文版
2095-2511,锋绘
2160-6579,新闻与大众传媒：英文版
2162-5263,环境科学与工程：B
1994-3091,变频技术应用
2159-550X,历史研究：英文版
2159-581X,地球科学与工程：英文版
2167-0196,控制工程期刊：中英文版
2167-1532,地球科学期刊：中英文版
2167-0218,信息工程期刊：中英文版
2167-163X,化学发展前沿：中英文版
2168-5983,电子商务学刊：中英文版
2169-6020,经济管理学刊：中英文版
2169-5849,光学应用：中英文版
2169-592X,当代农业：中英文版
2168-2453,教育研究前沿：中英文版
2326-876X,电气工程与自动化：中英文版
2326-8689,管理科学与研究：中英文版
2327-0543,机械工程与设计：中英文版
2327-090X,计算机科学与技术汇刊：中英文版
2327-0519,数学计算：中英文版
2326-8859,环境科学前沿：中英文版
2327-0497,土木工程与技术：中英文版
2327-0837,生物工程前沿：中英文版
2327-0454,心理学研究评论：中英文版
2327-0713,现代交通：中英文版
2327-0470,材料科学研究：中英文版
1006-8163,内蒙古畜牧业（蒙文）
2329-809X,能源科学发展：中英文版
2329-8065,建筑工程：中英文版
2329-8138,遥感科学：中英文版
1674-5213,俪人：教师
2310-3442,国际英语教育研究：英文版
2095-4549,未来英才
2327-3925,林学研究进展：中英文版
2309-2572,Zhouyi Research
2309-477X,国际技术管理
2313-4623,世界学者评论
2095-4808,医药界
2095-6363,科学家
2096-3769,天津中德应用技术大学学报
2095-8536,孔学堂
1671-556X,中文科技期刊数据库（全文版）图书情报
2095-963X,乐活老年
2328-7136,健康科学：英文版
2328-7144,经济世界：英文版
2328-2223,电气工程：英文版
2328-2231,控制科学与工程：英文版
2328-224X,统计科学与应用：英文版
2328-2177,文化与宗教研究：英文版
2328-2169,旅游与酒店管理：英文版
2328-2185,管理研究：英文版
2328-2134,国际关系与外交：英文版
2328-2150,药剂与药理学：英文版
2328-2142,交通与运输工程：英文版
2328-2193,地质资源与工程：英文版
2332-8258,航空科学与技术：英文版
2332-8223,测绘与测绘工程：英文版
2332-8215,水利工程：英文版
2332-7839,运动科学：英文版
2095-4743,新教育时代（电子杂志）
2096-2177,绿洲农业科学与工程
2709-1961,中西医结合护理
2096-3793,鞋类工艺与设计
2096-3009,丝路艺术
2095-6096,成功密码：综合版
1934-5755,宏观语言学
2163-1557,分析化学进展
2324-7991,应用数学进展
2329-1273,天文与天体物理
2161-8712,临床医学进展
2169-2599,哲学进展
2328-0409,亚洲急诊医学病例研究
2328-0433,亚洲遗传病病例研究
2328-0514,电力与能源进展
2163-3967,地球科学前沿（汉斯）
2326-3415,人工智能与机器人研究
2327-0810,微生物前沿
2331-012X,材料化学前沿
2376-4260,海洋科学前沿
2160-7273,心理学进展
2164-5639,渗流力学进展
2160-7567,应用物理
2334-3400,体育科学进展
2334-3419,老龄化研究
2326-3474,艺术研究快报
2169-2556,社会科学前沿
2331-0189,商业全球化
2330-1686,生物物理学
2164-5566,生物过程
2168-5665,植物学研究
2334-332X,清洁煤与能源
2168-5711,气候变化研究快报
2331-799X,创新教育研究
2326-3512,凝聚态物理学进展
2332-6794,国学（汉斯）
