name
X9 安全科学
TJ 武器工业
E92 武器、军用器材
TB3 工程材料学
TG 金属学与金属工艺
O64 物理化学（理论化学）、化学物理学
S812 草地学、草原学
S54 饲料作物、牧草
P2 测绘学
TU98 区域规划、城乡规划
X32 环境规划与环境管理
S8 畜牧、动物医学、狩猎、蚕、蜂
P75 海洋工程
U66 船舶工程
P4 大气科学（气象学）
P9 自然地理学
K9 地理
P3 地球物理学
P5 地质学
P61 矿床学
Q91 古生物学
P62 地质、矿产普查与勘探
TD1 矿山地质与测量
TM 电工技术
TN 无线电电子学、电信技术
TK 能源与动力工程
TB6 制冷工程
D9 法律
TS1 纺织工业、染整工业
TS941 服装工业
TU986 园林规划与建设
D918 刑事侦查学（犯罪对策学、犯罪侦查学）
X93 安全工程
D631 公安工作
D917 犯罪学
R1 预防医学、卫生学
C93 管理学
O43 光学
P7 海洋学
V1 航空、航天技术的研究与探索
TL 原子能技术
R47 护理学
O6 化学
O7 晶体学
TQ 化学工业
X1 环境科学基础理论
X2 社会与环境
X3 环境保护管理
X5 环境污染及其防治
X7 废物处理与综合利用
X8 环境质量评价与环境监测
TH 机械、仪表工业
R3 基础医学
TN4 微电子学、集成电路（IC）
TP3 计算技术、计算机技术
TU 建筑科学
U 交通运输
G4 教育
E22 政治工作
E96 军事通信
E29 军事史（战史、建军史）
E251 军事教育、军事训练
TP13 自动控制理论
TP273 自动控制、自动控制系统
R78 口腔科学
TD 矿业工程
F0 经济学
O3 力学
S7 林业
F326.2 林业
S157 水土保持
X171.4 生态建设与生态恢复
S68 观赏园艺（花卉和观赏树木）
R4 临床医学
R72 儿科学
R74 神经病学与精神病学
R75 皮肤病学与性病学
R71 妇产科学
R77 眼科学
R6 外科学
A8 马克思主义、列宁主义、毛泽东思想、邓小平理论的学习和研究
J 艺术
C95 民族学
F3 农业经济
S2 农业工程
F323.2 农业资源开发与利用
TS7 造纸工业
TQ92 发酵工业
TS5 皮革工业
TP311.5 软件工程
TB472 产品设计
C91 社会学
Q81 生物工程学（生物技术）
Q 生物科学
R318 生物医学工程
TE 石油、天然气工业
TS2 食品工业
K1 世界史
S85 动物医学（兽医学）
O1 数学
S9 水产、渔业
TV 水利工程
R8 特种医学
G8 体育
P1 天文学
C8 统计学
G250 图书馆学
G35 情报学、情报工作
G27 档案学、档案事业
H3 常用外国语
O4 物理学
J9 电影、电视艺术
J8 戏剧艺术
N94 系统科学
B84 心理学
G2 信息与知识传播
TN91 通信
R9 药学
TF 冶金工业
J0 艺术理论
J7 舞蹈
J6 音乐
S6 园艺
B 哲学、宗教
S4 植物保护
K2 中国史
K092 中国
H1 汉语
I2 中国文学
R28 中药学
R2 中国医学
S5 农作物
